Datetime,Date,Time_Str,Price_DA,Price_RT,Price_Spread,Load_A类(MW),Load_A类(MW).1,Load_B类(MW),Load_B类(MW).1,Load_地方电(MW),Load_地方电(MW).1,Load_实时A类,Load_实时B类,Load_实时地方电,Load_实时粤港联络线,Load_实时统调,Load_实时西电,Load_日前A类,Load_日前B类,Load_日前地方电,Load_日前粤港联络线,Load_日前统调,Load_日前西电,Load_粤港联络线(MW),Load_粤港联络线(MW).1,Load_统调(MW),Load_统调(MW).1,Load_西电(MW),Load_西电(MW).1
2025-05-01 00:00:00,2025-05-01,00:00:00,308.0,320.0,-12.0,12061.4,11414.9,51040.836,54148.269,6105.0,6186.17,13465.2,55650.29175,6017.4725,-758.86425,92750.15,18376.05,12900.375,54459.7615,6101.25,-825.1365,90741.25,18105.0,-825.236,-774.839,86805.0,88677.3,18423.0,17702.8
2025-05-01 00:15:00,2025-05-01,00:15:00,647.88,1012.58,-364.70000000000005,12315.6,13059.9,57090.437,57226.547,6106.0,5971.0,14301.575,51892.6645,5917.3525,-759.817,89362.075,18010.3,13887.0,50724.98625,6071.75,-825.23625,86776.25,16917.75,-825.037,-705.247,93125.0,94877.6,18438.0,19325.4
2025-05-01 00:30:00,2025-05-01,00:30:00,647.88,998.6,-350.72,13261.7,14659.2,56202.537,56608.081,6100.0,5937.52,13730.1,48872.69475,5773.6825,-745.72725,84229.325,16598.575,13229.325,47794.4115,6034.75,-825.2365,81092.5,14859.25,-825.237,-737.601,92505.0,94438.3,17766.0,17971.1
2025-05-01 00:45:00,2025-05-01,00:45:00,399.87,997.91,-598.04,13962.8,14726.8,53505.236,54618.27,6094.0,5975.2,13668.075,45170.73425,5660.37,-457.85425,80303.875,16262.55,13109.625,44281.2615,6002.25,-825.1365,76832.5,14264.5,-825.036,-817.77,90530.0,93007.4,17793.0,18504.9
2025-05-01 01:00:00,2025-05-01,01:00:00,429.83,1118.63,-688.8000000000002,13958.5,14552.2,52684.737,53491.73,6085.0,5930.88,13007.275,42535.86875,5501.255,-447.09875,76673.6,16076.3,13088.825,41673.61125,5975.25,-825.18625,73672.5,13760.0,-825.237,-771.41,88950.0,91666.1,17047.0,18462.7
2025-05-01 01:15:00,2025-05-01,01:15:00,449.81,1117.93,-668.1200000000001,13953.7,14514.3,51611.536,52070.165,6075.0,5934.0,12189.4,41452.44525,5454.23,-537.35025,74252.975,15694.25,13047.6,40794.78675,5951.5,-825.13675,72728.75,13760.0,-825.236,-757.865,87820.0,89735.8,17005.0,17975.2
2025-05-01 01:30:00,2025-05-01,01:30:00,387.45,999.46,-612.01,13821.7,14347.9,49776.536,51216.991,6067.0,5941.35,12537.5,41993.011,5623.9925,-733.8285,73904.0,14483.325,13125.65,40337.0365,6112.25,-825.1865,72733.75,13984.0,-825.236,-760.741,85845.0,88666.5,17005.0,17921.0
2025-05-01 01:45:00,2025-05-01,01:45:00,353.51,1001.0,-647.49,13814.1,13791.9,48827.136,50791.772,6060.0,5863.18,12269.675,37376.5035,6367.175,-747.8285,71748.875,16483.35,13634.75,35511.9365,6915.75,-825.1865,70741.25,15504.0,-825.236,-749.252,84490.0,87379.9,16614.0,17682.3
2025-05-01 02:00:00,2025-05-01,02:00:00,398.85,682.02,-283.16999999999996,13509.1,13880.1,49790.137,50230.774,6050.0,5829.92,11678.825,29892.92475,7541.45,-872.39975,65800.35,17559.55,13480.75,27963.0865,8113.0,-916.5865,64520.0,15879.75,-825.237,-737.994,83420.0,85970.7,14896.0,16767.9
2025-05-01 02:15:00,2025-05-01,02:15:00,340.66,1004.24,-663.5799999999999,13141.8,13977.8,48192.436,49533.146,6040.0,5771.67,12101.3,29326.78875,8884.6825,-876.72125,66561.55,17125.5,11693.525,28602.96125,9424.0,-947.23625,64690.0,15916.75,-825.236,-741.816,81445.0,84849.5,14896.0,16308.7
